DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
220910623,2022-06-21,2020-11-19,0001,Van Nuys,THEFT OF IDENTITY,53,F,W,,Invest Cont,6300    MORSE                        AV
221510639,2022-06-05,2020-01-24,1415,N Hollywood,THEFT OF IDENTITY,58,M,H,,Invest Cont,5500    STROHM                       AV
220113458,2022-06-02,2020-05-29,0611,Central,THEFT OF IDENTITY,38,M,B,,Invest Cont,500 E  6TH                          ST
221213066,2022-06-03,2020-12-01,1400,77th Street,TRESPASSING,34,F,B,PHYSICAL PRESENCE,Invest Cont,1100 W  49TH                         ST
220113408,2022-06-01,2020-09-02,1200,Central,THEFT OF IDENTITY,30,F,B,,Invest Cont,600 S  SANTA FE                     AV
221910282,2022-06-02,2020-06-01,1200,Mission,THEFT OF IDENTITY,23,F,W,,Invest Cont,15300    RAYEN                        ST
222110021,2022-06-02,2020-01-01,0001,Topanga,THEFT OF IDENTITY,25,F,B,,Invest Cont,23100    AVENUE SAN LUIS
220211247,2022-06-02,2020-07-15,1230,Rampart,THEFT OF IDENTITY,38,F,B,,Invest Cont,1200 W  8TH                          ST
220710105,2022-06-06,2020-07-01,0745,Wilshire,THEFT OF IDENTITY,70,M,W,,Invest Cont,1100 S  RIDGELEY                     DR
220911160,2022-07-06,2020-03-01,1000,Van Nuys,THEFT OF IDENTITY,59,M,O,,Invest Cont,6400    VAN NUYS                     BL
221511143,2022-06-15,2020-11-19,0719,N Hollywood,THEFT OF IDENTITY,54,F,H,,Invest Cont,5300    CORTEEN                      PL
221609445,2022-06-13,2020-01-01,1200,Foothill,THEFT OF IDENTITY,61,M,W,,Invest Cont,11600    SHELDON                      ST
"220611751,2022-06-14,2020-03-01,0800,Hollywood,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",46,M,W,,Invest Cont,2100    PONET                        DR"
221511140,2022-06-14,2020-01-01,1235,N Hollywood,THEFT OF IDENTITY,87,M,W,,Invest Cont,11300    OTSEGO                       ST
"222110428,2022-06-11,2020-06-11,1700,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Arrest,SHERMAN                      WY"
221812809,2022-06-17,2020-05-17,0001,Southeast,THEFT OF IDENTITY,38,M,B,,Invest Cont,200 E  LANZIT                       AV
"221213894,2022-06-15,2020-11-01,1200,77th Street,""EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"",24,M,H,,Invest Cont,700 E  79TH                         ST"
221010466,2022-06-14,2020-07-07,0001,West Valley,THEFT OF IDENTITY,55,M,H,,Invest Cont,18500    ERWIN                        ST
221911806,2022-07-10,2020-03-25,0001,Mission,THEFT OF IDENTITY,31,M,H,,Invest Cont,13800    RAYEN                        ST
221413552,2022-06-24,2020-03-18,2330,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27,F,C,,Invest Cont,S  SEPULVEDA                    BL
222111399,2022-07-07,2020-08-21,0001,Topanga,VIOLATION OF RESTRAINING ORDER,26,F,H,,Adult Arrest,20200    HARTLAND                     ST
220911156,2022-07-06,2020-01-01,0001,Van Nuys,BURGLARY,64,F,W,,Invest Cont,15300    HATTERAS                     ST
221215139,2022-06-27,2020-09-25,0945,77th Street,THEFT OF IDENTITY,22,F,O,,Invest Cont,7800 S  NORMANDIE                    AV
"222012073,2022-07-05,2020-06-10,0010,Olympic,""BUNCO, GRAND THEFT"",45,M,A,,Invest Cont,1800 S  WESTERN                      AV"
222111393,2022-07-06,2020-01-01,0001,Topanga,THEFT OF IDENTITY,43,M,B,,Invest Cont,24600    STAGG                        ST
222012456,2022-07-19,2020-01-01,1230,Olympic,THEFT OF IDENTITY,11,M,H,,Invest Cont,1300    MAGNOLIA                     AV
221011732,2022-07-18,2020-07-01,1200,West Valley,THEFT OF IDENTITY,83,F,O,,Invest Cont,6500    RESEDA                       BL
220911563,2022-07-14,2020-09-03,0001,Van Nuys,THEFT OF IDENTITY,33,F,B,,Invest Cont,14300    SYLVAN                       ST
221216200,2022-07-11,2020-09-01,1235,77th Street,THEFT OF IDENTITY,65,F,B,,Invest Cont,7300 S  DENKER                       AV
220613587,2022-07-23,2020-10-24,0001,Hollywood,THEFT OF IDENTITY,27,M,O,,Invest Cont,6200 W  SUNSET                       BL
