DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
221910303,2022-06-02,2022-06-02,0015,Mission,THEFT OF IDENTITY,28,F,W,,Invest Cont,8700    BURNET                       AV
231404092,2022-11-21,2022-11-19,0930,Pacific,BURGLARY FROM VEHICLE,25,M,W,,Invest Cont,12700    VISTA DEL MAR
222019140,2022-12-16,2022-10-28,0740,Olympic,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),45,M,I,,Invest Cont,400 S  KINGSLEY                     DR
220915684,2022-11-02,2022-10-15,0001,Van Nuys,THEFT OF IDENTITY,52,F,H,,Invest Cont,4500    CALHOUN                      AV
220916717,2022-11-30,2022-11-25,0930,Van Nuys,BURGLARY FROM VEHICLE,35,M,B,,Invest Cont,5200    TILDEN                       AV
221916774,2022-11-11,2022-11-11,1620,Mission,VANDALISM - MISDEAMEANOR ($399 OR UNDER),62,F,H,,Adult Other,15000    NORDHOFF                     ST
221321022,2022-11-16,2022-11-16,1135,Newton,BRANDISH WEAPON,23,M,H,HAND GUN,Invest Cont,5700 S  CENTRAL                      AV
"220510975,2022-07-05,2022-07-05,1710,Harbor,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",40,M,H,,Adult Arrest,25000    FRAMPTON                     AV"
"220913301,2022-08-31,2022-08-27,2200,Van Nuys,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",27,M,H,,Invest Cont,5900    CEDROS                       AV"
"220612950,2022-07-08,2022-07-08,1320,Hollywood,BATTERY - SIMPLE ASSAULT,32,M,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,1700 N  STANLEY                      AV"
221412097,2022-06-01,2022-06-01,1028,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),43,M,W,,Invest Cont,3800    COOLIDGE                     AV
"221115631,2022-10-29,2022-10-27,2000,Northeast,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",29,M,H,,Invest Cont,3100    CASITAS                      AV"
220125620,2022-12-02,2022-12-02,0810,Central,THEFT OF IDENTITY,30,F,W,,Invest Cont,1800 S  HOPE                         ST
"220219890,2022-11-08,2022-11-07,2300,Rampart,OTHER ASSAULT,26,M,O,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,600 S  UNION                        AV"
231004069,2023-01-02,2022-12-30,1400,West Valley,EXTORTION,53,M,W,,Invest Cont,5400    BECKFORD                     AV
220517310,2022-12-21,2022-12-21,1230,Harbor,VIOLATION OF RESTRAINING ORDER,27,F,H,,Adult Other,100 W  2ND                          ST
"220121070,2022-09-20,2022-09-05,1200,Central,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",54,M,O,,Invest Cont,400 N  MAIN                         ST"
221608994,2022-06-01,2022-06-01,1202,Foothill,THEFT OF IDENTITY,33,F,H,,Invest Cont,11900    BURTON                       ST
220415646,2022-11-23,2022-11-23,0300,Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22,M,H,,Adult Other,500 N  FICKETT                      ST
222016530,2022-10-31,2022-10-31,1330,Olympic,CRIMINAL THREATS - NO WEAPON DISPLAYED,46,M,H,VERBAL THREAT,Adult Arrest,HOOVER
220711540,2022-07-12,2022-07-11,1630,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),24,F,W,,Invest Cont,100 N  CLARK                        DR
220515243,2022-10-25,2022-10-16,2020,Harbor,VIOLATION OF COURT ORDER,40,F,A,,Adult Other,800 N  AVALON                       BL
221614481,2022-11-22,2022-11-01,0607,Foothill,THEFT OF IDENTITY,66,F,W,,Invest Cont,6900    FOOTHILL                     BL
221320275,2022-11-02,2022-11-02,1120,Newton,BRANDISH WEAPON,59,F,O,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,1600    LONG BEACH                   AV
231204696,2023-01-10,2022-12-22,1243,77th Street,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,F,A,,Invest Cont,1000 W  65TH                         ST
221111687,2022-07-18,2022-07-18,0200,Northeast,ARSON,54,F,H,,Invest Cont,3400    MARMION                      WY
"221013607,2022-09-04,2022-09-03,1800,West Valley,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",35,M,H,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Invest Cont,SATICOY                      ST"
220611262,2022-06-04,2022-06-04,0010,Hollywood,PICKPOCKET,23,M,H,,Invest Cont,SUNSET                       BL
221218005,2022-08-19,2022-08-19,1845,77th Street,VIOLATION OF RESTRAINING ORDER,47,F,B,,Invest Cont,60TH
220220403,2022-11-17,2022-11-15,1400,Rampart,VEHICLE - ATTEMPT STOLEN,24,F,H,,Invest Cont,200 N  WESTLAKE                     AV
221717688,2022-12-07,2022-12-07,1319,Devonshire,INDECENT EXPOSURE,72,F,W,,Invest Cont,NEWCASTLE                    AV
"221911203,2022-06-24,2022-06-24,0800,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,28,M,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,RINALDI"
221112696,2022-08-14,2022-08-14,0150,Northeast,ROBBERY,52,M,H,SIMULATED GUN,Invest Cont,YORK                         BL
220121820,2022-10-04,2022-10-04,1045,Central,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),47,M,H,,Invest Cont,600 S  OLIVE                        ST
220216176,2022-09-06,2022-09-05,0001,Rampart,THEFT OF IDENTITY,51,F,W,,Invest Cont,300 E  EDGEWARE                     RD
230905149,2023-02-01,2022-10-28,1200,Van Nuys,THEFT OF IDENTITY,33,F,H,,Invest Cont,14200    CALVERT                      ST
220916096,2022-11-13,2022-11-10,1700,Van Nuys,BURGLARY,57,F,W,,Invest Cont,4600    WOODMAN                      AV
"221216424,2022-07-25,2022-07-25,0130,77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,39,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,10300 S  WESTERN                      AV"
220911110,2022-07-05,2022-07-05,1334,Van Nuys,BURGLARY,41,F,H,,Adult Arrest,5200    LENNOX                       AV
220601027,2022-12-08,2022-12-08,0745,Hollywood,BRANDISH WEAPON,61,M,B,OTHER KNIFE,Adult Arrest,5400    HOLLYWOOD                    BL
221514450,2022-09-04,2022-09-04,0945,N Hollywood,BURGLARY FROM VEHICLE,34,M,A,,Invest Cont,CHANDLER                     BL
220712566,2022-08-03,2022-08-03,1700,Wilshire,BURGLARY FROM VEHICLE,40,F,O,,Invest Cont,ORANGE GROVE                 AV
220320020,2022-11-09,2022-11-08,1530,Southwest,BIKE - STOLEN,22,M,W,,Invest Cont,1200 W  30TH                         ST
"220620270,2022-12-18,2022-12-18,0010,Hollywood,BATTERY - SIMPLE ASSAULT,29,M,O,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,HOLLYWOOD"
221315771,2022-08-09,2022-08-04,0751,Newton,THEFT OF IDENTITY,41,F,H,,Invest Cont,1100 E  VERNON                       AV
221216692,2022-07-29,2022-07-29,1300,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,49,F,H,VERBAL THREAT,Adult Other,700 E  FLORENCE                     AV
221418426,2022-10-31,2022-10-31,1510,Pacific,VIOLATION OF RESTRAINING ORDER,40,F,O,,Invest Cont,12300    JEFFERSON                    BL
220812205,2022-07-18,2022-07-18,1500,West LA,EXTORTION,14,M,W,,Invest Cont,2000 N  MANDEVILLE CANYON            RD
"220320094,2022-11-11,2022-11-03,0658,Southwest,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",67,M,B,,Invest Cont,3900    URSULA                       AV"
221320644,2022-11-08,2022-11-08,1630,Newton,BRANDISH WEAPON,25,M,H,OTHER KNIFE,Invest Cont,1300 E  OLYMPIC                      BL
"221822325,2022-12-17,2022-03-01,0001,Southeast,BATTERY - SIMPLE ASSAULT,67,M,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,800 W  IMPERIAL                     HY"
220317037,2022-09-18,2022-09-17,1830,Southwest,THEFT PLAIN - PETTY ($950 & UNDER),59,F,W,,Invest Cont,3900 S  FIGUEROA                     ST
"221318873,2022-10-06,2022-10-05,1600,Newton,""BURGLARY, ATTEMPTED"",35,F,B,,Invest Cont,4300 S  MAIN                         ST"
"221413589,2022-07-10,2022-07-05,0800,Pacific,""VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"",39,M,W,,Invest Cont,12700    MILLENNIUM                   DR"
220120763,2022-09-17,2022-09-17,1430,Central,BRANDISH WEAPON,24,F,B,UNKNOWN FIREARM,Juv Other,1300 S  FIGUEROA                     ST
221811872,2022-06-02,2022-06-02,0100,Southeast,THEFT OF IDENTITY,51,F,H,,Invest Cont,1300 E  111TH                        PL
220611443,2022-06-01,2022-06-01,0850,Hollywood,BATTERY - SIMPLE ASSAULT,25,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6200    HOLLYWOOD                    BL
221512228,2022-07-12,2022-06-28,1030,N Hollywood,BURGLARY FROM VEHICLE,37,F,H,,Invest Cont,5200    TUJUNGA                      AV
220619768,2022-12-06,2022-12-04,0600,Hollywood,BURGLARY FROM VEHICLE,48,F,A,,Invest Cont,FERN DELL
"220114205,2022-06-15,2022-06-15,0130,Central,BATTERY - SIMPLE ASSAULT,28,M,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,200 N  LOS ANGELES                  ST"
"222115093,2022-10-06,2022-10-05,0200,Topanga,""THEFT, PERSON"",56,M,B,,Adult Other,21100    PARTHENIA                    ST"
222115221,2022-09-21,2022-09-15,1956,Topanga,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),35,M,X,,Invest Cont,21500    VICTORY                      BL
"222011777,2022-06-29,2022-06-29,2300,Olympic,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,1600 S  VAN NESS                     AV"
221501153,2022-11-18,2022-11-16,1500,N Hollywood,BURGLARY FROM VEHICLE,67,F,B,,Invest Cont,6700    WHITSETT                     AV
220410514,2022-07-04,2022-07-04,1201,Hollenbeck,THEFT OF IDENTITY,23,M,B,,Invest Cont,600 S  SOTO                         ST
220912124,2022-08-02,2022-08-01,0900,Van Nuys,THEFT OF IDENTITY,41,M,W,,Invest Cont,7300    WOODMAN                      AV
220321990,2022-12-15,2022-12-15,1550,Southwest,BIKE - STOLEN,99,M,O,,Invest Cont,600 W  35TH                         ST
220321004,2022-11-25,2022-11-25,1100,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),30,F,H,,Invest Cont,1600 W  35TH                         PL
"220314314,2022-07-27,2022-07-27,1151,Southwest,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",21,X,X,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,3400 W  41ST                         ST"
220909854,2022-06-01,2022-03-17,1200,Van Nuys,THEFT OF IDENTITY,53,M,H,,Invest Cont,14900    CALVERT                      ST
220410875,2022-07-07,2022-06-15,0201,Hollenbeck,THEFT OF IDENTITY,35,F,H,,Invest Cont,1900 N  MARIANNA                     AV
"220712371,2022-08-01,2022-08-01,0700,Wilshire,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,1500    CRENSHAW                     BL"
220118211,2022-08-14,2022-08-14,0700,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),62,M,B,,Invest Cont,200    BOYD                         ST
"220616554,2022-09-25,2022-09-25,0300,Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,31,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,6600    LELAND                       WY"
220119928,2022-09-07,2022-09-06,2230,Central,THEFT PLAIN - PETTY ($950 & UNDER),67,M,H,,Invest Cont,100 W  5TH                          ST
221014527,2022-09-26,2022-09-22,1730,West Valley,THEFT PLAIN - PETTY ($950 & UNDER),44,M,W,,Invest Cont,18500    VENTURA                      BL
"220318172,2022-10-09,2022-10-04,2300,Southwest,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",41,M,H,,Invest Cont,28TH                         ST"
222013120,2022-08-07,2022-08-07,1627,Olympic,BURGLARY,66,M,A,,Invest Cont,500 N  PLYMOUTH                     BL
"220312709,2022-06-22,2022-06-22,0200,Southwest,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",64,M,H,UNKNOWN FIREARM,Invest Cont,3900 W  28TH                         ST"
"220512452,2022-08-12,2022-08-11,1320,Harbor,ROBBERY,50,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,1600    257TH                        ST"
221717223,2022-08-14,2022-07-31,0210,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),44,F,W,,Invest Cont,19100    NORDHOFF                     ST
221713126,2022-09-02,2022-09-02,0800,Devonshire,BURGLARY,24,M,H,,Invest Cont,11200    GLORIA                       AV
"221215494,2022-07-10,2022-07-10,1800,77th Street,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",20,M,H,HAND GUN,Adult Other,300 E  84TH                         ST"
221018193,2022-12-28,2022-11-02,1155,West Valley,THEFT PLAIN - PETTY ($950 & UNDER),31,F,W,,Invest Cont,7400    HASKELL                      AV
222011734,2022-06-28,2022-06-27,2253,Olympic,VIOLATION OF RESTRAINING ORDER,44,M,H,,Adult Arrest,1400 W  20TH                         ST
230904037,2023-01-02,2022-12-14,1914,Van Nuys,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),39,M,W,,Invest Cont,14000    RIVERSIDE                    DR
220811702,2022-07-08,2022-07-07,1100,West LA,DOCUMENT FORGERY / STOLEN FELONY,58,F,O,,Invest Cont,1100 S  HOLT                         AV
"222013717,2022-08-10,2022-08-10,2100,Olympic,BATTERY - SIMPLE ASSAULT,64,M,A,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,2200 W  21ST                         ST"
221225436,2022-12-15,2022-12-15,2215,77th Street,VIOLATION OF COURT ORDER,48,F,W,,Adult Other,1400 W  79TH                         ST
220122426,2022-10-14,2022-10-13,1800,Central,BURGLARY FROM VEHICLE,24,F,W,,Invest Cont,900    FIGUEROA                     TR
220517600,2022-11-25,2022-04-10,0800,Harbor,THEFT OF IDENTITY,19,M,B,,Invest Cont,1000 W  1ST                          ST
221717308,2022-12-08,2022-11-20,1545,Devonshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),29,X,H,,Invest Cont,11100    BALBOA                       BL
220817623,2022-12-03,2022-12-03,1030,West LA,BURGLARY FROM VEHICLE,31,F,A,,Invest Cont,10900    WILSHIRE                     BL
"221417896,2022-10-19,2022-10-18,2100,Pacific,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",21,M,O,,Invest Cont,500    VENICE                       BL"
221815335,2022-08-05,2022-08-05,1620,Southeast,CRIMINAL THREATS - NO WEAPON DISPLAYED,31,F,B,VERBAL THREAT,Invest Cont,88TH                         ST
"220410239,2022-06-26,2022-06-26,0600,Hollenbeck,INTIMATE PARTNER - AGGRAVATED ASSAULT,42,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,600 S  RIO                          ST"
220115058,2022-06-27,2022-06-26,1915,Central,BURGLARY FROM VEHICLE,19,F,H,,Invest Cont,1100 S  OLIVE                        ST
"222115316,2022-10-11,2022-10-11,1840,Topanga,BATTERY - SIMPLE ASSAULT,25,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,6400    OWENSMOUTH                   AV"
"220314352,2022-07-28,2022-07-28,1030,Southwest,BATTERY - SIMPLE ASSAULT,82,M,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,1300 W  JEFFERSON                    BL"
"221219385,2022-09-11,2022-09-11,1300,77th Street,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",42,M,B,,Invest Cont,400 W  48TH                         ST"
220120865,2022-09-19,2022-09-17,1300,Central,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),33,F,W,,Invest Cont,100 S  HILL                         ST
221613760,2022-10-29,2022-10-27,1700,Foothill,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M,H,,Invest Cont,SPROULE
220818622,2022-12-27,2022-12-23,0001,West LA,THEFT PLAIN - PETTY ($950 & UNDER),20,M,A,,Invest Cont,10600    WILKINS                      AV
"221217499,2022-07-27,2022-07-26,2245,77th Street,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",22,M,H,,Invest Cont,6400 S  FIGUEROA                     ST"
"221011081,2022-06-30,2022-05-25,1500,West Valley,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",23,M,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,7500    SYLVIA                       AV"
220817608,2022-11-01,2022-10-13,0900,West LA,THEFT PLAIN - PETTY ($950 & UNDER),25,M,W,,Invest Cont,11300 W  PICO                         BL
220126844,2022-12-21,2022-12-20,1930,Central,BURGLARY FROM VEHICLE,28,M,W,,Invest Cont,1100 S  FIGUEROA                     ST
"221413323,2022-07-01,2022-07-01,0400,Pacific,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",34,F,O,,Invest Cont,00    PALOMA                       AV"
220617400,2022-10-11,2022-08-08,1635,Hollywood,THEFT OF IDENTITY,62,M,H,,Invest Cont,1300 N  CURSON                       AV
"220710764,2022-06-22,2022-06-17,1800,Wilshire,BATTERY - SIMPLE ASSAULT,53,M,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,2000    8TH                          AV"
221713047,2022-06-23,2022-06-23,0700,Devonshire,BURGLARY FROM VEHICLE,29,M,H,,Invest Cont,9300    MELVIN                       AV
"220812154,2022-07-17,2022-07-17,0810,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,9800    NATIONAL                     BL"
221819304,2022-10-18,2022-09-09,0940,Southeast,THEFT OF IDENTITY,42,M,B,,Invest Cont,1900 E  114TH                        ST
"220915073,2022-10-16,2022-10-16,1740,Van Nuys,BATTERY - SIMPLE ASSAULT,24,M,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,VENTURA                      BL"
221110107,2022-06-06,2022-06-02,2200,Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),40,M,W,,Invest Cont,3900    LOS FELIZ                    BL
220215798,2022-09-03,2022-09-01,2230,Rampart,ROBBERY,14,M,H,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,WESTLAKE                     AV
"220222356,2022-12-29,2022-10-25,1320,Rampart,""BUNCO, GRAND THEFT"",49,M,H,,Invest Cont,1300 W  5TH                          ST"
221712936,2022-08-28,2022-08-18,1710,Devonshire,THEFT OF IDENTITY,72,M,W,,Invest Cont,9400    LOUISE                       AV
"221316261,2022-08-18,2022-08-18,1230,Newton,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",60,F,H,,Invest Cont,48TH                         ST"
222117562,2022-12-10,2022-12-09,0200,Topanga,VIOLATION OF COURT ORDER,45,F,W,,Adult Other,FRIAR                        ST
221611575,2022-08-19,2022-08-18,1630,Foothill,VANDALISM - MISDEAMEANOR ($399 OR UNDER),65,M,O,,Invest Cont,13500    PAXTON                       ST
220118839,2022-08-22,2022-08-21,2240,Central,BURGLARY FROM VEHICLE,58,M,B,,Invest Cont,300 S  CENTRAL                      AV
220214926,2022-08-04,2022-08-02,1246,Rampart,THEFT OF IDENTITY,24,F,H,,Invest Cont,200 S  CORONADO                     ST
"220416485,2022-12-15,2022-12-15,1550,Hollenbeck,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",44,M,H,VEHICLE,Invest Cont,200 N  FICKETT                      ST"
221717482,2022-12-09,2022-12-07,1050,Devonshire,THEFT OF IDENTITY,72,F,W,,Invest Cont,16400    ARMSTEAD                     ST
220616049,2022-09-13,2022-09-10,2230,Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),55,F,W,,Invest Cont,2300 N  HIGHLAND                     AV
220214898,2022-08-09,2022-08-07,0910,Rampart,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M,A,,Invest Cont,700 S  BIXEL                        ST
221114487,2022-09-28,2022-09-28,1715,Northeast,THEFT PLAIN - PETTY ($950 & UNDER),21,X,X,,Invest Cont,1000    COLORADO                     BL
"220220724,2022-11-26,2022-11-25,2200,Rampart,BATTERY - SIMPLE ASSAULT,32,F,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,100 S  ALVARADO                     ST"
"221221860,2022-10-16,2022-09-17,1700,77th Street,ORAL COPULATION,11,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,8800 S  WESTERN                      AV"
220513526,2022-09-09,2022-09-09,0300,Harbor,THEFT OF IDENTITY,35,M,K,,Invest Cont,400 W  SEPULVEDA                    ST
"220317205,2022-09-19,2022-09-19,1430,Southwest,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",21,X,X,,Invest Cont,4100    11TH                         AV"
221011625,2022-07-06,2022-07-06,0316,West Valley,BURGLARY FROM VEHICLE,37,F,O,,Invest Cont,6400    YARMOUTH                     AV
"220320864,2022-11-28,2022-11-27,1200,Southwest,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",59,F,O,,Invest Cont,3000 S  FIGUEROA                     ST"
220119289,2022-08-28,2022-08-21,1700,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),46,M,O,,Invest Cont,400 W  8TH                          ST
221314878,2022-07-22,2022-07-22,2120,Newton,BURGLARY,55,M,H,,Invest Cont,1000 E  46TH                         ST
"220125444,2022-11-26,2022-11-25,2200,Central,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",24,F,W,,Invest Cont,900 S  BROADWAY"
220215641,2022-08-21,2022-08-16,0615,Rampart,BURGLARY FROM VEHICLE,35,F,C,,Invest Cont,200 S  LA FAYETTE PARK              PL
"221011060,2022-06-29,2022-06-24,0200,West Valley,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",31,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,19600    SHERMAN                      WY"
"221915192,2022-10-01,2022-10-01,1845,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,77,M,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Arrest,13200    CALCUTTA                     ST"
221513393,2022-08-10,2022-08-09,1600,N Hollywood,BURGLARY,44,F,W,,Invest Cont,5400    TUJUNGA                      AV
"220915350,2022-10-23,2022-10-22,1800,Van Nuys,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",55,M,H,,Invest Cont,15200    SATICOY                      ST"
222114855,2022-09-29,2022-09-24,1155,Topanga,THEFT PLAIN - PETTY ($950 & UNDER),55,M,H,,Invest Cont,6800    TOPANGA CANYON               BL
220114561,2022-06-20,2022-06-16,0900,Central,THEFT PLAIN - PETTY ($950 & UNDER),58,M,H,,Invest Cont,4TH
220124333,2022-11-12,2022-11-12,1920,Central,ROBBERY,47,M,B,STUN GUN,Invest Cont,600 S  FIGUEROA                     ST
"221718201,2022-12-24,2022-12-23,1400,Devonshire,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",62,M,J,,Invest Cont,17200    NORDHOFF                     ST"
"220312731,2022-06-23,2022-06-23,2300,Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,O,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,2800    ORCHARD                      AV"
220915976,2022-11-09,2022-11-09,1000,Van Nuys,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,F,W,,Adult Other,14800    VICTORY                      BL
"221900865,2022-10-21,2022-10-21,2325,Mission,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",47,M,X,,Adult Arrest,8500 N  SEPULVEDA                    BL"
220700885,2022-10-24,2022-10-23,0130,Wilshire,TRESPASSING,21,X,X,,Invest Cont,100 S  FAIRFAX                      AV
"220620168,2022-12-15,2022-12-14,2300,Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,5800    FRANKLIN                     AV"
220813676,2022-08-24,2022-08-21,1200,West LA,THEFT PLAIN - PETTY ($950 & UNDER),46,F,W,,Invest Cont,9300    AIRDROME                     ST
"221115821,2022-11-01,2022-10-15,0005,Northeast,ORAL COPULATION,37,F,H,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Invest Cont,3100    WELDON                       AV"
"220211594,2022-06-08,2022-06-08,1941,Rampart,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",26,M,O,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Invest Cont,600 S  RAMPART                      BL"
220121634,2022-09-30,2022-09-28,1707,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,M,H,,Invest Cont,600 S  BROADWAY
"221517296,2022-11-10,2022-11-10,2300,N Hollywood,BATTERY - SIMPLE ASSAULT,32,M,O,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,6300    GOODLAND                     AV"
"230907857,2023-04-07,2022-12-28,0800,Van Nuys,BATTERY - SIMPLE ASSAULT,41,F,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,15200    VENTURA                      BL"
222113023,2022-08-14,2022-08-13,1600,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),47,M,W,,Invest Cont,20500    VANOWEN                      ST
"221717176,2022-08-13,2022-08-12,2300,Devonshire,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",24,F,H,,Invest Cont,9300    TAMPA                        AV"
"221015363,2022-10-17,2022-10-17,1240,West Valley,BATTERY - SIMPLE ASSAULT,78,F,W,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,17200    VENTURA                      BL"
221911460,2022-07-02,2022-06-03,0934,Mission,THEFT OF IDENTITY,29,F,H,,Invest Cont,15200    NORDHOFF                     ST
221321924,2022-12-04,2022-12-03,0655,Newton,THEFT OF IDENTITY,38,F,H,,Invest Cont,200 E  30TH                         ST
"221215652,2022-07-13,2022-07-13,1130,77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT,42,M,B,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",Adult Other,6100    BRYNHURST                    AV"
"220911507,2022-07-17,2022-07-16,2230,Van Nuys,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",32,M,H,CLUB/BAT,Invest Cont,4000    BENEDICT CANYON              DR"
